gcid,filePath,folder,all_files,num_files,total_changes,first_revision,last_revision
391,md5.java,,md5.java,1,1,232,232
392,md5.java,,md5.java,1,1,232,232
393,md5.java,,md5.java,1,1,232,232
394,md5.java,,md5.java,1,1,232,232
395,md5.java,,md5.java,1,1,232,232
396,md5.java,,md5.java,1,1,232,232
417,md5.java,,md5.java,1,1,202,202
418,md5.java,,md5.java,1,1,202,202
421,md5.java,,md5.java,1,2,202,232
422,md5.java,,md5.java,1,2,202,232
425,dnsResolver.java,,dnsResolver.java,1,2,33,44
426,Resolver.java,,Resolver.java,1,4,33,208
427,dnsResolver.java,,dnsResolver.java,1,2,33,63
428,dnsResolver.java,,dnsResolver.java,1,2,33,63
429,SimpleResolver.java,,SimpleResolver.java,1,17,33,924
430,Resolver.java,,Resolver.java,1,6,33,210
431,SimpleResolver.java,,SimpleResolver.java,1,10,33,284
432,dnsResolver.java,,dnsResolver.java,1,2,33,44
433,Resolver.java,,Resolver.java,1,6,33,210
434,Resolver.java,,Resolver.java,1,4,33,208
435,SimpleResolver.java,,SimpleResolver.java,1,5,33,222
436,SimpleResolver.java,,SimpleResolver.java,1,5,33,222
437,dnsResolver.java,,dnsResolver.java,1,4,33,82
438,dnsResolver.java,,dnsResolver.java,1,4,33,82
439,dnsResolver.java,,dnsResolver.java,1,3,33,82
440,dnsResolver.java,,dnsResolver.java,1,3,33,82
441,Resolver.java,,Resolver.java,1,6,33,210
442,Resolver.java,,Resolver.java,1,9,33,210
443,dnsResolver.java,,dnsResolver.java,1,4,33,82
444,Resolver.java,,Resolver.java,1,9,33,210
445,SimpleResolver.java,,SimpleResolver.java,1,11,33,314
446,SimpleResolver.java,,SimpleResolver.java,1,13,33,314
447,Resolver.java,,Resolver.java,1,7,33,210
448,SimpleResolver.java,,SimpleResolver.java,1,13,33,403
449,SimpleResolver.java,,SimpleResolver.java,1,16,33,771
450,SimpleResolver.java,,SimpleResolver.java,1,10,33,284
451,Resolver.java,,Resolver.java,1,8,33,210
452,dnsResolver.java,,dnsResolver.java,1,4,33,82
453,Resolver.java,,Resolver.java,1,7,33,210
454,SimpleResolver.java,,SimpleResolver.java,1,10,33,284
455,SRVRecord.java,,SRVRecord.java,1,4,41,1210
456,dnsSRVRecord.java,,dnsSRVRecord.java,1,1,41,41
457,dnsSRVRecord.java,,dnsSRVRecord.java,1,1,41,41
458,SRVRecord.java,,SRVRecord.java,1,4,41,756
459,dnsSRVRecord.java,,dnsSRVRecord.java,1,1,41,41
460,SRVRecord.java,,SRVRecord.java,1,3,41,268
461,dnsSRVRecord.java,,dnsSRVRecord.java,1,1,41,41
462,SRVRecord.java,,SRVRecord.java,1,6,41,758
463,dnsSRVRecord.java,,dnsSRVRecord.java,1,1,41,41
464,SRVRecord.java,,SRVRecord.java,1,4,41,268
465,SRVRecord.java,,SRVRecord.java,1,4,41,268
