cloneType,granularity,gcid1,gcid2,no_of_revision_paired,couplingStrength,latePropagationCount,dominantChangeCategory,made_pair_in_revisions,gcid1_changed_revs,gcid2_changed_revs
"Type3","Block",44,50,2,0.5000,0,"SIMILARITY_PRESERVING","[94, 218]","[94, 218, 1179]","[94, 218, 1421]"
"Type3","Block",45,47,2,0.4000,0,"SIMILARITY_PRESERVING","[41, 44]","[41, 44]","[41, 44, 87, 94, 248]"
"Type3","Block",45,48,2,1.0000,0,"SIMILARITY_PRESERVING","[41, 44]","[41, 44]","[41, 44]"
"Type3","Block",45,49,2,0.4000,0,"SIMILARITY_PRESERVING","[41, 44]","[41, 44]","[41, 44, 87, 94, 248]"
"Type3","Block",47,48,2,0.4000,0,"SIMILARITY_PRESERVING","[41, 44]","[41, 44, 87, 94, 248]","[41, 44]"
"Type3","Block",47,49,5,1.0000,0,"SIMILARITY_PRESERVING","[41, 44, 87, 94, 248]","[41, 44, 87, 94, 248]","[41, 44, 87, 94, 248]"
"Type3","Block",48,49,2,0.4000,0,"SIMILARITY_PRESERVING","[41, 44]","[41, 44]","[41, 44, 87, 94, 248]"
"Type3","Block",51,53,1,0.2000,0,"SIMILARITY_PRESERVING","[4]","[4, 94, 405]","[4, 41, 44]"
"Type3","Block",51,54,1,0.2857,0,"SIMILARITY_PRESERVING","[4]","[4, 94, 405]","[4, 41, 44, 87, 94, 248]"
"Type3","Block",53,54,3,0.5000,0,"SIMILARITY_PRESERVING","[4, 41, 44]","[4, 41, 44]","[4, 41, 44, 87, 94, 248]"
"Type3","Block",714,715,2,1.0000,0,"SIMILARITY_PRESERVING","[87, 108]","[87, 108]","[87, 108]"
"Type3","Block",55,56,1,1.0000,0,"SIMILARITY_PRESERVING","[41]","[41]","[41]"
"Type3","Block",55,57,1,0.3333,0,"SIMILARITY_PRESERVING","[41]","[41]","[41, 94, 248]"
"Type3","Block",55,58,1,0.2000,0,"SIMILARITY_PRESERVING","[41]","[41]","[41, 94, 248, 756, 758]"
"Type3","Block",56,57,1,0.3333,0,"SIMILARITY_PRESERVING","[41]","[41]","[41, 94, 248]"
"Type3","Block",56,58,1,0.2000,0,"SIMILARITY_PRESERVING","[41]","[41]","[41, 94, 248, 756, 758]"
"Type3","Block",57,58,3,0.6000,0,"SIMILARITY_PRESERVING","[41, 94, 248]","[41, 94, 248]","[41, 94, 248, 756, 758]"
"Type3","Block",298,299,2,0.6667,0,"SIMILARITY_PRESERVING","[94, 248]","[94, 248, 756]","[94, 248]"
"Type3","Block",875,876,2,1.0000,0,"SIMILARITY_PRESERVING","[170, 174]","[170, 174]","[170, 174]"
"Type3","Block",1280,1281,1,0.2000,0,"SIMILARITY_PRESERVING","[1390]","[1390, 1391, 1392, 1408, 1500]","[1390]"
"Type3","Block",300,302,1,1.0000,0,"SIMILARITY_PRESERVING","[41]","[41]","[41]"
"Type3","Block",300,303,1,0.3333,0,"SIMILARITY_PRESERVING","[41]","[41]","[41, 94, 248]"
"Type3","Block",302,303,1,0.3333,0,"SIMILARITY_PRESERVING","[41]","[41]","[41, 94, 248]"
"Type3","Block",611,612,2,0.6667,0,"SIMILARITY_PRESERVING","[43, 55]","[43, 55]","[43, 54, 55]"
"Type3","Block",638,639,1,1.0000,0,"SIMILARITY_PRESERVING","[95]","[95]","[95]"
"Type3","Block",674,675,3,1.0000,0,"SIMILARITY_PRESERVING","[55, 69, 82]","[55, 69, 82]","[55, 69, 82]"
"Type3","Block",1184,1192,1,0.3333,0,"SIMILARITY_PRESERVING","[1212]","[1178, 1212]","[1212, 1280]"
"Type3","Block",1282,1283,1,0.2500,0,"SIMILARITY_PRESERVING","[1390]","[1390, 1392, 1408]","[1390, 1475]"
"Type3","Block",63,64,1,0.3333,0,"SIMILARITY_PRESERVING","[41]","[41]","[41, 94, 248]"
"Type3","Block",63,65,1,1.0000,0,"SIMILARITY_PRESERVING","[41]","[41]","[41]"
"Type3","Block",63,66,1,0.3333,0,"SIMILARITY_PRESERVING","[41]","[41]","[41, 94, 248]"
"Type3","Block",64,65,1,0.3333,0,"SIMILARITY_PRESERVING","[41]","[41, 94, 248]","[41]"
"Type3","Block",64,66,3,1.0000,0,"SIMILARITY_PRESERVING","[41, 94, 248]","[41, 94, 248]","[41, 94, 248]"
"Type3","Block",65,66,1,0.3333,0,"SIMILARITY_PRESERVING","[41]","[41]","[41, 94, 248]"
"Type3","Block",306,307,1,0.1667,0,"SIMILARITY_PRESERVING","[94]","[94]","[94, 756, 758, 996, 1208, 1210]"
"Type3","Block",455,456,1,0.2000,0,"SIMILARITY_PRESERVING","[41]","[41, 268, 1096, 1210, 1221]","[41]"
"Type3","Block",455,457,1,0.2000,0,"SIMILARITY_PRESERVING","[41]","[41, 268, 1096, 1210, 1221]","[41]"
"Type3","Block",455,458,2,0.2857,0,"SIMILARITY_PRESERVING","[41, 268]","[41, 268, 1096, 1210, 1221]","[41, 268, 599, 756]"
"Type3","Block",456,457,1,1.0000,0,"SIMILARITY_PRESERVING","[41]","[41]","[41]"
