globalCloneId | filePath | StartLine | EndLine | classId | globalMethodId | method_name | method_signature | methodStart | methodEnd | package_name | class_name
1382 | Revision_786/Jmol/src/org/openscience/jmol/util/FieldReader.java | 46 | 51 | 95 | NULL | NULL | NULL | NULL | NULL |  | 
1383 | Revision_786/Jmol/src/org/openscience/jmol/util/FieldReader.java | 24 | 29 | 95 | NULL | NULL | NULL | NULL | NULL |  | 
1384 | Revision_786/Jmol/src/org/openscience/jmol/util/FieldReader.java | 67 | 76 | 95 | NULL | NULL | NULL | NULL | NULL |  | 
1231 | Revision_786/Jmol/src/org/openscience/jmol/io/ABINITReader.java | 129 | 135 | 96 | 431 | read | public ChemFile read() throws IOException | 110 | 143 | org.openscience.jmol.io | ABINITReader
1204 | Revision_786/Jmol/src/org/openscience/jmol/io/ReaderFactory.java | 77 | 81 | 96 | 205 | createReader | public static ChemFileReader createReader(Reader input) throws IOException | 48 | 217 | org.openscience.jmol.io | ReaderFactory
1205 | Revision_786/Jmol/src/org/openscience/jmol/io/ReaderFactory.java | 208 | 212 | 96 | 205 | createReader | public static ChemFileReader createReader(Reader input) throws IOException | 48 | 217 | org.openscience.jmol.io | ReaderFactory
76 | Revision_786/Jmol/src/org/openscience/jmol/io/Aces2Reader.java | 74 | 119 | 97 | 431 | read | public ChemFile read() throws IOException | 74 | 119 | org.openscience.jmol.io | Aces2Reader
77 | Revision_786/Jmol/src/org/openscience/jmol/io/GamessReader.java | 75 | 131 | 97 | 431 | read | public ChemFile read() throws IOException | 75 | 131 | org.openscience.jmol.io | GamessReader
80 | Revision_786/Jmol/src/org/openscience/jmol/io/Gaussian98Reader.java | 70 | 127 | 97 | 431 | read | public ChemFile read() throws IOException | 70 | 127 | org.openscience.jmol.io | Gaussian98Reader
78 | Revision_786/Jmol/src/org/openscience/jmol/io/ADFReader.java | 71 | 112 | 97 | 431 | read | public ChemFile read() throws IOException | 71 | 112 | org.openscience.jmol.io | ADFReader
802 | Revision_786/Jmol/src/org/openscience/jmol/io/Gaussian90Reader.java | 67 | 110 | 97 | 431 | read | public ChemFile read() throws IOException | 67 | 110 | org.openscience.jmol.io | Gaussian90Reader
79 | Revision_786/Jmol/src/org/openscience/jmol/io/Gaussian94Reader.java | 70 | 123 | 97 | 431 | read | public ChemFile read() throws IOException | 70 | 123 | org.openscience.jmol.io | Gaussian94Reader
81 | Revision_786/Jmol/src/org/openscience/jmol/io/Gaussian92Reader.java | 68 | 111 | 97 | 431 | read | public ChemFile read() throws IOException | 68 | 111 | org.openscience.jmol.io | Gaussian92Reader
82 | Revision_786/Jmol/src/org/openscience/jmol/io/Aces2Reader.java | 82 | 88 | 98 | 431 | read | public ChemFile read() throws IOException | 74 | 119 | org.openscience.jmol.io | Aces2Reader
83 | Revision_786/Jmol/src/org/openscience/jmol/io/Aces2Reader.java | 96 | 103 | 98 | 431 | read | public ChemFile read() throws IOException | 74 | 119 | org.openscience.jmol.io | Aces2Reader
803 | Revision_786/Jmol/src/org/openscience/jmol/io/DaltonReader.java | 69 | 75 | 98 | 431 | read | public ChemFile read() throws IOException | 56 | 85 | org.openscience.jmol.io | DaltonReader
805 | Revision_786/Jmol/src/org/openscience/jmol/io/JaguarReader.java | 54 | 62 | 98 | 431 | read | public ChemFile read() throws IOException | 43 | 82 | org.openscience.jmol.io | JaguarReader
