n,n_pos,n_neg,mcc,auc_roc,pr_auc,balanced_acc,f1,gmean,model,Revision,threshold,train_size
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,LightGBM,342,0.312,949
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,XGBoost,342,0.1,949
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,CatBoost,342,0.263,949
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,RandomForest,359,0.378,950
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,LightGBM,359,0.312,950
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,XGBoost,359,0.867,950
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,CatBoost,359,0.263,950
34,1,33,0.34188172937891387,0.9393939393939394,0.3333333333333333,0.9090909090909092,0.25,0.9045340337332909,RandomForest,360,0.378,951
34,1,33,0.34188172937891387,0.9393939393939393,0.3333333333333333,0.9090909090909092,0.25,0.9045340337332909,LightGBM,360,0.312,951
34,1,33,-0.06356417261637282,0.8181818181818182,0.14285714285714285,0.4393939393939394,0.0,0.0,XGBoost,360,0.867,951
34,1,33,0.29012942659282975,0.8787878787878788,0.2,0.8787878787878788,0.2,0.8703882797784892,CatBoost,360,0.263,951
2,0,2,0.0,0.5,0.0,0.5,0.0,0.0,RandomForest,367,0.378,985
2,0,2,0.0,0.5,0.0,0.5,0.0,0.0,LightGBM,367,0.312,985
2,0,2,0.0,0.5,0.0,0.5,0.0,0.0,XGBoost,367,0.867,985
2,0,2,0.0,0.5,0.0,0.5,0.0,0.0,CatBoost,367,0.263,985
2,0,2,0.0,0.5,0.0,0.5,0.0,0.0,RandomForest,370,0.378,987
2,0,2,0.0,0.5,0.0,0.5,0.0,0.0,LightGBM,370,0.312,987
2,0,2,0.0,0.5,0.0,0.5,0.0,0.0,XGBoost,370,0.867,987
2,0,2,0.0,0.5,0.0,0.5,0.0,0.0,CatBoost,370,0.263,987
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,RandomForest,377,0.378,989
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,LightGBM,377,0.312,989
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,XGBoost,377,0.867,989
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,CatBoost,377,0.263,989
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,RandomForest,412,0.378,990
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,LightGBM,412,0.884,990
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,XGBoost,412,0.867,990
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,CatBoost,412,0.263,990
2,0,2,0.0,0.5,0.0,0.5,0.0,0.0,RandomForest,414,0.378,991
2,0,2,0.0,0.5,0.0,0.5,0.0,0.0,LightGBM,414,0.884,991
2,0,2,0.0,0.5,0.0,0.5,0.0,0.0,XGBoost,414,0.867,991
2,0,2,0.0,0.5,0.0,0.5,0.0,0.0,CatBoost,414,0.263,991
2,0,2,0.0,0.5,0.0,0.5,0.0,0.0,RandomForest,416,0.378,993
2,0,2,0.0,0.5,0.0,0.5,0.0,0.0,LightGBM,416,0.884,993
2,0,2,0.0,0.5,0.0,0.5,0.0,0.0,XGBoost,416,0.688,993
2,0,2,0.0,0.5,0.0,0.5,0.0,0.0,CatBoost,416,0.263,993
4,0,4,0.0,0.5,0.0,0.5,0.0,0.0,RandomForest,430,0.378,995
4,0,4,0.0,0.5,0.0,0.5,0.0,0.0,LightGBM,430,0.884,995
4,0,4,0.0,0.5,0.0,0.5,0.0,0.0,XGBoost,430,0.688,995
4,0,4,0.0,0.5,0.0,0.5,0.0,0.0,CatBoost,430,0.263,995
3,1,2,1.0,1.0,1.0,1.0,1.0,1.0,RandomForest,438,0.378,999
