cloneType,granularity,gcid1,gcid2,no_of_revision_paired,couplingStrength,latePropagationCount,dominantChangeCategory,made_pair_in_revisions,gcid1_changed_revs,gcid2_changed_revs
"Type3","Block",699,751,2,1.0000,0,"SIMILARITY_PRESERVING","[302, 315]","[302, 315]","[302, 315]"
"Type3","Block",699,752,2,1.0000,0,"SIMILARITY_PRESERVING","[302, 315]","[302, 315]","[302, 315]"
"Type3","Block",699,754,2,1.0000,0,"SIMILARITY_PRESERVING","[302, 315]","[302, 315]","[302, 315]"
"Type3","Block",699,808,2,1.0000,0,"SIMILARITY_PRESERVING","[302, 315]","[302, 315]","[302, 315]"
"Type3","Block",701,751,2,1.0000,0,"SIMILARITY_PRESERVING","[302, 315]","[302, 315]","[302, 315]"
"Type3","Block",701,752,2,1.0000,0,"SIMILARITY_PRESERVING","[302, 315]","[302, 315]","[302, 315]"
"Type3","Block",701,754,2,1.0000,0,"SIMILARITY_PRESERVING","[302, 315]","[302, 315]","[302, 315]"
"Type3","Block",701,808,2,1.0000,0,"SIMILARITY_PRESERVING","[302, 315]","[302, 315]","[302, 315]"
"Type3","Block",751,752,2,1.0000,0,"SIMILARITY_PRESERVING","[302, 315]","[302, 315]","[302, 315]"
"Type3","Block",751,754,2,1.0000,0,"SIMILARITY_PRESERVING","[302, 315]","[302, 315]","[302, 315]"
"Type3","Block",751,808,2,1.0000,0,"SIMILARITY_PRESERVING","[302, 315]","[302, 315]","[302, 315]"
"Type3","Block",752,754,2,1.0000,0,"SIMILARITY_PRESERVING","[302, 315]","[302, 315]","[302, 315]"
"Type3","Block",752,808,2,1.0000,0,"SIMILARITY_PRESERVING","[302, 315]","[302, 315]","[302, 315]"
"Type3","Block",754,808,2,1.0000,0,"SIMILARITY_PRESERVING","[302, 315]","[302, 315]","[302, 315]"
"Type3","Block",3008,3022,1,1.0000,0,"SIMILARITY_PRESERVING","[2661]","[2661]","[2661]"
"Type3","Block",3038,3043,1,1.0000,0,"SIMILARITY_PRESERVING","[2661]","[2661]","[2661]"
"Type3","Block",3038,3059,1,0.2000,0,"SIMILARITY_PRESERVING","[2661]","[2661]","[2653, 2661, 2667, 2735, 2828]"
"Type3","Block",3043,3059,1,0.2000,0,"SIMILARITY_PRESERVING","[2661]","[2661]","[2653, 2661, 2667, 2735, 2828]"
"Type3","Block",96,97,2,1.0000,0,"SIMILARITY_PRESERVING","[302, 315]","[302, 315]","[302, 315]"
"Type3","Block",100,101,2,0.5000,1,"SIMILARITY_PRESERVING","[302, 315]","[298, 302, 315]","[289, 302, 315]"
"Type3","Block",100,102,2,0.5000,1,"SIMILARITY_PRESERVING","[302, 315]","[298, 302, 315]","[289, 302, 315]"
"Type3","Block",103,105,5,0.8333,1,"SIMILARITY_PRESERVING","[32, 82, 302, 315, 498]","[32, 82, 298, 302, 315, 498]","[32, 82, 302, 315, 498]"
"Type3","Block",811,812,2,1.0000,0,"SIMILARITY_PRESERVING","[302, 315]","[302, 315]","[302, 315]"
