pairId,cloneType,granularity,classId,clone1_gcid,clone2_gcid,clone1_addedRev,clone2_addedRev,clone1_deletedRev,clone2_deletedRev,clone1_lifespan,clone2_lifespan,co_change,gcid1_independent_change,gcid2_independent_change,similarity,filepath1,filepath2,file_distance,gcid1_authors,gcid2_authors,weighted_coupling_strength,coupling_trend,last_co_change_age,last_solo_change_age,method_name1,method_signature1,method_name2,method_signature2
17990,Type3,Block,121,766,1021,109,299,159,311,50,12,0,0,0,100,Zone.java,SetResponse.java,4,bwelling,bwelling,0.0000,0.0000,-1,50,getSOA,getSOA(),addRRset,addRRset(RRset rrset)
17991,Type3,Block,121,766,1625,109,1447,159,Still Active,50,53,0,0,0,100,Zone.java,NameTest.java,5,bwelling,bwelling,0.0000,0.0000,-1,50,getSOA,getSOA(),test_null_Compression,public void test_null_Compression() throws TextParseException
17992,Type3,Block,121,766,1626,109,1447,159,Still Active,50,53,0,0,0,100,Zone.java,NameTest.java,5,bwelling,bwelling,0.0000,0.0000,-1,50,getSOA,getSOA(),test_basic,public void test_basic() throws TextParseException
17993,Type3,Block,121,767,1020,109,299,159,311,50,12,0,0,0,100,Zone.java,SetResponse.java,4,bwelling,bwelling,0.0000,0.0000,-1,50,getSOA,getSOA(),addRRset,addRRset(RRset rrset)
17994,Type3,Block,121,767,1021,109,299,159,311,50,12,0,0,0,100,Zone.java,SetResponse.java,1,bwelling,bwelling,0.0000,0.0000,-1,50,getSOA,getSOA(),addRRset,addRRset(RRset rrset)
17995,Type3,Block,121,767,1625,109,1447,159,Still Active,50,53,0,0,0,100,Zone.java,NameTest.java,7,bwelling,bwelling,0.0000,0.0000,-1,50,getSOA,getSOA(),test_null_Compression,public void test_null_Compression() throws TextParseException
17996,Type3,Block,121,767,1626,109,1447,159,Still Active,50,53,0,0,0,100,Zone.java,NameTest.java,7,bwelling,bwelling,0.0000,0.0000,-1,50,getSOA,getSOA(),test_basic,public void test_basic() throws TextParseException
17997,Type3,Block,121,1020,1021,299,299,311,311,12,12,0,0,0,100,SetResponse.java,SetResponse.java,4,bwelling,bwelling,0.0000,0.0000,-1,-1,addRRset,addRRset(RRset rrset),addRRset,addRRset(RRset rrset)
17998,Type3,Block,121,1020,1625,299,1447,311,Still Active,12,53,0,0,0,100,SetResponse.java,NameTest.java,5,bwelling,bwelling,0.0000,0.0000,-1,-1,addRRset,addRRset(RRset rrset),test_null_Compression,public void test_null_Compression() throws TextParseException
17999,Type3,Block,121,1020,1626,299,1447,311,Still Active,12,53,0,0,0,100,SetResponse.java,NameTest.java,5,bwelling,bwelling,0.0000,0.0000,-1,-1,addRRset,addRRset(RRset rrset),test_basic,public void test_basic() throws TextParseException
18000,Type3,Block,121,1021,1625,299,1447,311,Still Active,12,53,0,0,0,100,SetResponse.java,NameTest.java,7,bwelling,bwelling,0.0000,0.0000,-1,-1,addRRset,addRRset(RRset rrset),test_null_Compression,public void test_null_Compression() throws TextParseException
