revision,gcid,filePath,changeType,nlines,totalChanges,totalUnchanged,stabilityIndex,changeProneness,lifespan,author,activePairs,meanWCS,maxWCS,minWCS,stronglyCoupledPairs,decoupledPairs
282,72,fortran.c,M,17,3,269,0.9573,0.0107,280,darren,2,0.6479,0.6851,0.6106,2,0
282,73,fortran.c,M,17,3,269,0.9573,0.0107,280,darren,2,0.8425,1.0000,0.6851,2,0
282,210,fortran.c,M,8,3,65,0.9559,0.0441,67,darren,1,0.0000,0.0000,0.0000,0,1
282,226,fortran.c,M,11,2,21,0.9130,0.0870,22,darren,1,1.0000,1.0000,1.0000,1,0
282,227,fortran.c,M,7,2,21,0.9130,0.0870,22,darren,1,1.0000,1.0000,1.0000,1,0
282,241,fortran.c,M,17,2,14,0.8750,0.1250,15,darren,2,0.8053,1.0000,0.6106,2,0
282,251,fortran.c,M,11,1,0,0.0000,1.0000,0,darren,1,1.0000,1.0000,1.0000,1,0
289,197,sql.c,M,8,1,73,0.9733,0.0133,74,darren,23,0.0000,0.0000,0.0000,0,23
289,199,sql.c,M,5,2,72,0.9600,0.0267,74,darren,0,0.0000,0.0000,0.0000,0,0
289,200,sql.c,M,6,1,73,0.9733,0.0133,74,darren,3,0.3333,1.0000,0.0000,1,2
289,201,sql.c,M,6,1,73,0.9733,0.0133,74,darren,1,1.0000,1.0000,1.0000,1,0
289,205,sql.c,M,12,1,68,0.9067,0.0133,74,darren,0,0.0000,0.0000,0.0000,0,0
289,208,sql.c,M,6,1,73,0.9733,0.0133,74,darren,1,1.0000,1.0000,1.0000,1,0
289,209,sql.c,M,6,1,73,0.9733,0.0133,74,darren,3,0.3333,1.0000,0.0000,1,2
307,254,main.c,M,7,1,0,0.0000,1.0000,0,darren,5,0.2000,1.0000,0.0000,1,4
307,255,main.c,M,7,1,0,0.0000,1.0000,0,darren,5,0.2000,1.0000,0.0000,1,4
329,257,sh.c,M,6,1,0,0.0000,1.0000,0,darren,1,0.0000,0.0000,0.0000,0,1
331,201,sql.c,M,6,2,114,0.9744,0.0171,116,darren,1,1.0000,1.0000,1.0000,1,0
331,208,sql.c,M,6,2,114,0.9744,0.0171,116,darren,1,1.0000,1.0000,1.0000,1,0
331,209,sql.c,M,6,2,114,0.9744,0.0171,116,darren,3,0.0737,0.2210,0.0000,0,2
333,86,options.c,M,5,4,319,0.9608,0.0120,331,darren,5,0.2321,1.0000,0.0000,1,4
333,117,options.c,M,5,4,319,0.9608,0.0120,331,darren,5,0.2321,1.0000,0.0000,1,4
333,118,options.c,M,5,4,319,0.9608,0.0120,331,darren,1,1.0000,1.0000,1.0000,1,0
