Revision,gcid,classid,n_prior_changes,n_prior_co_changes,n_prior_independent,co_change_ratio,revs_since_last_change,revs_since_last_co_change,revs_since_last_independent,recent_co_ratio_last5,solo_events_since_last_co,nlines,similarity,file_age,change_proneness,stability_index,change_magnitude,avg_prior_change_magnitude,class_size,alive_peer_count,class_co_change_density,frac_peers_same_file,frac_peers_same_method,mean_peer_co_ratio,max_peer_co_ratio,min_peer_co_ratio,mean_peer_depth,ir_decay_h10,cs_decay_h10,ir_decay_h20,cs_decay_h20,ir_decay_h50,cs_decay_h50,coupling_trend,churn,distinct_authors,major_author_prop,label
760,397,40,17,11,1,0.6471,4,4,97,1.0,0,5,71,130,0.1308,1.3048,1.0,1.0962,106,98,0.9286,0.3163,0.0102,0.0306,0.5882,0.0,0.68,0.0006,0.9994,0.0111,0.9889,0.0534,0.9466,0.25,748,1,1.0,0
763,281,7,5,2,3,0.4,99,177,99,0.4,3,7,83,302,0.0166,1.4494,1.25,1.1625,58,43,1.0,0.0233,0.0,0.0186,0.4,0.0,0.98,0.9965,0.0035,0.9623,0.0377,0.8507,0.1493,-1.0,1248,1,1.0,1
763,309,30,10,7,1,0.7,97,97,128,1.0,0,10,70,302,0.0331,1.3146,0.9444,0.904,96,78,0.8974,0.2179,0.0,0.0654,0.9,0.0,0.78,0.0279,0.9721,0.0653,0.9347,0.0958,0.9042,0.2,1628,1,1.0,1
763,336,32,1,1,0,1.0,288,288,-1,1.0,0,7,83,302,0.0033,0.8929,0.0909,0.8182,110,101,0.7822,0.1683,0.0297,0.3267,1.0,0.0,0.83,0.0,1.0,0.0,1.0,0.0,1.0,0.0,810,1,1.0,0
763,342,36,1,1,0,1.0,293,293,-1,1.0,0,5,71,302,0.0033,1.0365,1.0,1.0,71,55,0.8182,0.1818,0.0,0.0182,1.0,0.0,0.82,0.0,1.0,0.0,1.0,0.0,1.0,0.0,218,1,1.0,1
763,399,42,1,1,0,1.0,128,128,-1,1.0,0,7,83,128,0.0078,0.784,0.0833,1.0,92,87,0.9195,0.1609,0.023,0.023,1.0,0.0,0.84,0.0,1.0,0.0,1.0,0.0,1.0,0.0,21,1,1.0,0
776,14,4,7,3,3,0.4286,56,56,62,0.2,0,8,83,774,0.009,1.3448,1.0,0.9683,42,34,0.9706,0.0294,0.0,0.1345,0.4286,0.0,0.97,0.5852,0.4148,0.6721,0.3279,0.7277,0.2723,-0.4167,619,1,1.0,1
777,14,4,8,3,4,0.375,1,57,1,0.2,1,8,83,775,0.0103,1.346,1.0,0.9722,42,34,0.9706,0.0294,0.0,0.1176,0.375,0.0,0.97,0.9804,0.0196,0.9,0.1,0.8234,0.1766,-0.25,680,1,1.0,1
777,370,57,10,0,4,0.0,1,-1,1,0.0,4,7,80,251,0.0398,1.5189,0.6667,0.7,71,58,0.8103,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,799,1,1.0,1
785,614,81,1,0,1,0.0,26,-1,26,0.0,1,33,70,68,0.0147,0.67,0.3529,0.0357,37,33,0.5758,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1,1,1.0,1
