revision_number,method_name,method_signature,package_name,class_name,src,start_line,end_line,methodId,globalMethodId
311 | getAlgorithm | getAlgorithm() | DNS | KEYRecord | org/xbill/DNS/KEYRecord.java | 143 | 145 | 222564 | 127
311 | getAlgorithm | getAlgorithm() | DNS | SIGRecord | org/xbill/DNS/SIGRecord.java | 133 | 135 | 222565 | 127
311 | getAllByName | getAllByName(String name) throws UnknownHostException | DNS | Address | org/xbill/DNS/Address.java | 62 | 74 | 222566 | 311
311 | getAnyRecords | getAnyRecords(String name, short type) | DNS | dns | org/xbill/DNS/dns.java | 252 | 254 | 222567 | 217
311 | getAnyRecords | getAnyRecords(String namestr, short type, short dclass) | DNS | dns | org/xbill/DNS/dns.java | 230 | 232 | 222568 | 328
311 | getAnyRecordsByAddress | getAnyRecordsByAddress(String addr, short type) | DNS | dns | org/xbill/DNS/dns.java | 275 | 278 | 222569 | 217
311 | getBitmap | getBitmap() | DNS | NXTRecord | org/xbill/DNS/NXTRecord.java | 94 | 96 | 222570 | 128
311 | getByName | getByName(String name) throws UnknownHostException | DNS | Address | org/xbill/DNS/Address.java | 45 | 53 | 222571 | 312
311 | getCPU | getCPU() | DNS | HINFORecord | org/xbill/DNS/HINFORecord.java | 56 | 58 | 222572 | 129
311 | getCert | getCert() | DNS | CERTRecord | org/xbill/DNS/CERTRecord.java | 133 | 135 | 222573 | 368
311 | getCertType | getCertType() | DNS | CERTRecord | org/xbill/DNS/CERTRecord.java | 109 | 111 | 222574 | 159
311 | getCount | getCount(int field) | DNS | Header | org/xbill/DNS/Header.java | 181 | 183 | 222575 | 40
311 | getDClass | getDClass() | DNS | RRset | org/xbill/DNS/RRset.java | 134 | 139 | 222576 | 224
311 | getDClass | getDClass() | DNS | Record | org/xbill/DNS/Record.java | 319 | 321 | 222577 | 224
311 | getDClass | getDClass() | DNS | Zone | org/xbill/DNS/Zone.java | 75 | 77 | 222578 | 224
311 | getError | getError() | DNS | TSIGRecord | org/xbill/DNS/TSIGRecord.java | 161 | 163 | 222579 | 130
311 | getExpire | getExpire() | DNS | SIGRecord | org/xbill/DNS/SIGRecord.java | 155 | 157 | 222580 | 231
311 | getExpire | getExpire() | DNS | SOARecord | org/xbill/DNS/SOARecord.java | 133 | 135 | 222581 | 231
311 | getExtendedRcode | getExtendedRcode() | DNS | OPTRecord | org/xbill/DNS/OPTRecord.java | 82 | 84 | 222582 | 212
311 | getFlag | getFlag(int bit) | DNS | Header | org/xbill/DNS/Header.java | 91 | 93 | 222583 | 41
311 | getFlags | getFlags() | DNS | Header | org/xbill/DNS/Header.java | 96 | 98 | 222584 | 131
311 | getFlags | getFlags() | DNS | KEYRecord | org/xbill/DNS/KEYRecord.java | 127 | 129 | 222585 | 131
